image,fpem_score
00002.png,2.597364664077759
00006.png,3.5902247428894043
00008.png,2.691983461380005
00009.png,2.658050537109375
00027.png,1.7342497110366821
00040.png,2.8371810913085938
00081.png,3.012259006500244
00121.png,2.0348446369171143
00124.png,1.7568120956420898
00145.png,1.758653998374939
00199.png,1.7017836570739746
00228.png,1.7183738946914673
00259.png,1.6990338563919067
00322.png,1.7179429531097412
00341.png,1.9357560873031616
00387.png,1.7340542078018188
00400.png,3.3696818351745605
00413.png,1.9259438514709473
00540.png,1.7603247165679932
00606.png,1.976494550704956
00680.png,1.873653769493103
00696.png,1.9004769325256348
00768.png,2.5012247562408447
00800.png,2.8070874214172363
00938.png,1.638389229774475
00953.png,1.79256010055542
00970.png,2.805116891860962
01021.png,1.8479909896850586
01084.png,2.277916193008423
01117.png,1.8336559534072876
01171.png,1.7100834846496582
01174.png,1.8381115198135376
01186.png,2.144859552383423
01263.png,1.855688214302063
01293.png,2.471632480621338
01304.png,1.6524717807769775
01321.png,1.8003736734390259
01360.png,1.743883728981018
01388.png,1.7214118242263794
01401.png,1.9183051586151123
01408.png,1.6992675065994263
01409.png,1.9076058864593506
01410.png,1.6386388540267944
01426.png,1.7590343952178955
01470.png,1.7829190492630005
01474.png,2.272454261779785
01495.png,3.100734233856201
01519.png,2.2859904766082764
01524.png,1.8060640096664429
01539.png,1.7588728666305542
01565.png,2.013875961303711
01576.png,3.187236785888672
01602.png,1.7876017093658447
01669.png,2.02994704246521
01731.png,1.7251560688018799
01758.png,1.810782551765442
01815.png,1.8010319471359253
01926.png,1.7980238199234009
01946.png,1.8630610704421997
01994.png,1.6791470050811768
02000.png,2.6265721321105957
02016.png,1.8373713493347168
02042.png,1.880920171737671
02045.png,2.1784908771514893
02101.png,1.8288642168045044
02103.png,1.690866231918335
02121.png,2.201899528503418
02131.png,2.051063060760498
02154.png,2.0731897354125977
02169.png,2.043492317199707
02231.png,1.7476898431777954
02273.png,1.6693989038467407
02295.png,1.8190155029296875
02312.png,1.6889029741287231
02400.png,2.9435501098632812
02526.png,1.6278672218322754
02541.png,1.6850587129592896
02542.png,2.0643765926361084
02553.png,2.094355821609497
02586.png,2.8427364826202393
02676.png,1.851492166519165
02728.png,1.7226569652557373
02801.png,1.8025290966033936
02805.png,1.7480239868164062
02825.png,1.770937204360962
02855.png,1.672992467880249
02936.png,1.8693910837173462
02946.png,1.7888623476028442
03096.png,1.8773653507232666
03152.png,2.6818785667419434
03264.png,2.009742498397827
03265.png,1.6949021816253662
03394.png,1.9185311794281006
03449.png,1.903841495513916
03475.png,2.7732856273651123
03492.png,1.9892849922180176
03628.png,1.8176617622375488
03914.png,1.823409914970398
03934.png,1.6168129444122314
04000.png,2.9609720706939697
