image,fpem_score
00002.png,2.6155858039855957
00006.png,3.5974631309509277
00008.png,2.6898486614227295
00009.png,2.665724277496338
00027.png,1.7410030364990234
00040.png,2.8478047847747803
00081.png,3.0199711322784424
00121.png,2.0525588989257812
00124.png,1.7599883079528809
00145.png,1.7606725692749023
00199.png,1.6883927583694458
00228.png,1.7191498279571533
00259.png,1.7075146436691284
00322.png,1.7158257961273193
00341.png,1.971205234527588
00387.png,1.7354016304016113
00400.png,3.349379539489746
00413.png,1.934130311012268
00540.png,1.7408398389816284
00606.png,2.055161714553833
00680.png,1.8940025568008423
00696.png,1.8812572956085205
00768.png,2.514801502227783
00800.png,2.813349962234497
00938.png,1.638683557510376
00953.png,1.8108760118484497
00970.png,2.802794933319092
01021.png,1.8189775943756104
01084.png,2.419999599456787
01117.png,1.838457703590393
01171.png,1.756505012512207
01174.png,1.8297791481018066
01186.png,2.1254971027374268
01263.png,1.858124017715454
01293.png,2.470996856689453
01304.png,1.6619817018508911
01321.png,1.8013780117034912
01360.png,1.7586405277252197
01388.png,1.7268128395080566
01401.png,1.932091474533081
01408.png,1.702674150466919
01409.png,1.932694673538208
01410.png,1.6408289670944214
01426.png,1.7604047060012817
01470.png,1.7817964553833008
01474.png,2.2943570613861084
01495.png,3.1100754737854004
01519.png,2.301243305206299
01524.png,1.8034664392471313
01539.png,1.7587066888809204
01565.png,2.0238583087921143
01576.png,3.1859517097473145
01602.png,1.795082926750183
01669.png,2.028841257095337
01731.png,1.75282883644104
01758.png,1.8113616704940796
01815.png,1.8015528917312622
01926.png,1.8165993690490723
01946.png,1.869047999382019
01994.png,1.6808570623397827
02000.png,2.645904302597046
02016.png,1.8447767496109009
02042.png,1.9157164096832275
02045.png,2.1676018238067627
02101.png,1.8268249034881592
02103.png,1.6977211236953735
02121.png,2.1914775371551514
02131.png,2.073615312576294
02154.png,1.9927836656570435
02169.png,2.0441250801086426
02231.png,1.7500925064086914
02273.png,1.6744813919067383
02295.png,1.7570468187332153
02312.png,1.7060691118240356
02400.png,2.9400947093963623
02526.png,1.636579155921936
02541.png,1.6766586303710938
02542.png,2.0576863288879395
02553.png,2.098313570022583
02586.png,2.8301167488098145
02676.png,1.8603203296661377
02728.png,1.7414227724075317
02801.png,1.8064944744110107
02805.png,1.795346736907959
02825.png,1.7762418985366821
02855.png,1.6705838441848755
02936.png,1.8710370063781738
02946.png,1.78696870803833
03096.png,1.8844741582870483
03152.png,2.680361270904541
03264.png,2.021129846572876
03265.png,1.6948014497756958
03394.png,1.9197814464569092
03449.png,1.920068621635437
03475.png,2.7746262550354004
03492.png,2.0179004669189453
03628.png,1.8203787803649902
03914.png,1.7387760877609253
03934.png,1.6285688877105713
04000.png,2.959592342376709
