image,fpem_score
00002.png,2.606205463409424
00006.png,3.598836898803711
00008.png,2.694352626800537
00009.png,2.657315969467163
00027.png,1.7379002571105957
00040.png,2.8293750286102295
00081.png,3.015739917755127
00121.png,2.0433716773986816
00124.png,1.7596923112869263
00145.png,1.766947865486145
00199.png,1.6722798347473145
00228.png,1.7155674695968628
00259.png,1.6868557929992676
00322.png,1.7212311029434204
00341.png,1.9798167943954468
00387.png,1.736611247062683
00400.png,3.3349061012268066
00413.png,1.9251210689544678
00540.png,1.7586002349853516
00606.png,1.881624460220337
00680.png,1.865259051322937
00696.png,1.8972197771072388
00768.png,2.509237766265869
00800.png,2.7926535606384277
00938.png,1.6377044916152954
00953.png,1.8114311695098877
00970.png,2.636613607406616
01021.png,1.8190367221832275
01084.png,2.174596071243286
01117.png,1.8347002267837524
01171.png,1.6891567707061768
01174.png,1.8298684358596802
01186.png,2.15236234664917
01263.png,1.8615500926971436
01293.png,2.4516990184783936
01304.png,1.6744587421417236
01321.png,1.803169846534729
01360.png,1.7560844421386719
01388.png,1.7209479808807373
01401.png,1.9214792251586914
01408.png,1.7053492069244385
01409.png,1.9061402082443237
01410.png,1.643018126487732
01426.png,1.7579196691513062
01470.png,1.7846890687942505
01474.png,2.2679734230041504
01495.png,3.109020709991455
01519.png,2.303229808807373
01524.png,1.8156465291976929
01539.png,1.7575256824493408
01565.png,2.0260517597198486
01576.png,3.1889185905456543
01602.png,1.7941726446151733
01669.png,2.029038906097412
01731.png,1.7705342769622803
01758.png,1.8120732307434082
01815.png,1.792149543762207
01926.png,1.799100637435913
01946.png,1.8544858694076538
01994.png,1.6834523677825928
02000.png,2.644788980484009
02016.png,1.8346748352050781
02042.png,1.873950719833374
02045.png,2.2685747146606445
02101.png,1.8267675638198853
02103.png,1.6889123916625977
02121.png,2.316455841064453
02131.png,2.041532039642334
02154.png,2.0129525661468506
02169.png,2.0554487705230713
02231.png,1.7509775161743164
02273.png,1.7230825424194336
02295.png,1.7760928869247437
02312.png,1.7075996398925781
02400.png,2.9370651245117188
02526.png,1.6311196088790894
02541.png,1.6851266622543335
02542.png,2.0098423957824707
02553.png,2.0949487686157227
02586.png,2.8175666332244873
02676.png,1.8645914793014526
02728.png,1.7443944215774536
02801.png,1.7832237482070923
02805.png,1.7567534446716309
02825.png,1.8323028087615967
02855.png,1.668055534362793
02936.png,1.8686444759368896
02946.png,1.7929513454437256
03096.png,1.8756263256072998
03152.png,2.6836366653442383
03264.png,1.9964102506637573
03265.png,1.6937503814697266
03394.png,1.9166641235351562
03449.png,1.9189172983169556
03475.png,2.772859573364258
03492.png,2.0122647285461426
03628.png,1.8152529001235962
03914.png,1.8146463632583618
03934.png,1.644957423210144
04000.png,2.9586660861968994
